Go.	Gå!
The bicycle by the door is mine.	Cyklen ved døren er min.
The bottle is filled with water.	Flasken er fuld af vand.
The boy has a bat under his arm.	Drengen har et bat under armen.
The cat is sitting on the table.	Katten sidder på bordet.
The chef came over at our table.	Kokken kom hen til vores bord.
The children played in the snow.	Børnene legede i sneen.
The city has a large population.	Byen har mange indbyggere.
The company was founded in 1974.	Virksomheden blev grundlagt i 1974.
The customer isn't always right.	Kunden har ikke altid ret.
The difficult question is where.	Det vanskelige spørgsmål er hvor.
The dogs bayed at the full moon.	Hundene gøede ad fuldmånen.
The dogs started barking at Tom.	Hundene begyndte at gø ad Tom.
The early bird catches the worm.	Morgenstund har guld i mund.
The fire was on the first floor.	Branden var på første sal.
The first one to get there wins.	Den første der kommer frem, vinder.
The food didn't taste very good.	Maden smagte ikke særligt godt.
The forest is teeming with life.	Skoven vrimler med liv.
The grapefruit tastes very sour.	Grapefrugten smager meget surt.
The grapefruit tastes very sour.	Grapen smager meget surt.
The house is on top of the hill.	Huset ligger på toppen af ​​bakken.
The last train has already gone.	Det sidste tog er allerede kørt.
The machine takes a lot of room.	Den maskine tager meget plads.
The machine takes a lot of room.	Maskinen tager meget plads.
The man's behavior was very odd.	Manden opførte sig meget mærkelig.
The medicine was a brown liquid.	Medikamentet var en brun væske.
The medicine was a brown liquid.	Medicinen var en brun væske.
The plane takes off at 8:00 a.m.	Flyet afgår kl. 8:00.
The police arrested the suspect.	Politiet anholdt den mistænkte.
The police charged into the bar.	Politiet stormede baren.
The police don't have a suspect.	Politiet har ikke en mistænkt.
The road is too narrow for cars.	Vejen er for snæver til biler.
The rumor turned out to be true.	Rygtet viste sig at være sandt.
The sand on the beach was white.	Strandsandet var hvidt.
The sun always sets in the west.	Solen går altid ned i vest.
The thunder scared the children.	Tordenen gjorde børnene bange.
The tongue of a cat feels rough.	Kattens tunge føles ru.
The train was late this morning.	Toget var forsinket her til morgen.
There are no pyramids in Europe.	Der er ingen pyramider i Europa.
There are six apples in the box.	Der er seks æbler i kassen.
There is a church near my house.	Der er en kirke nær ved mit hus.
There is a post office close by.	Der er et posthus i nærheden.
There is a red rose in the vase.	Der er en rød rose i vasen.
There is an orange on the table.	Der ligger en appelsin på bordet.
There is an orange on the table.	Der er en appelsin på bordet.
There wasn't a cloud in the sky.	Der var ikke en sky på himlen.
There wasn't anyone in the room.	Der var ingen i værelset.
There wasn't anyone in the room.	Der var ikke nogen i værelset.
There's a big crack in the wall.	Der er en stor revne i muren.
There's a drought in California.	Der er tørke i Californien.
There's something under the bed.	Der er noget under sengen.
These articles are not for sale.	Disse artikler er ikke til salg.
They are breaking down the wall.	De bryder muren ned.
They are discussing the problem.	De diskuterer problemet.
They are jealous of our success.	De er misundelige over vores succes.
They had once helped each other.	De havde engang hjulpet hinanden.
They only care about themselves.	De bekymrer sig kun om sig selv.
They sent him to prison in 1925.	De sendte ham i fængsel i 1925.
They went to the mosque to pray.	De tog hen til moskeen for at bede.
They went to the station by car.	De kørte til stationen i bil.
They wouldn't tell me the truth.	De ville ikke fortælle mig sandheden.
This bicycle is mine, not Tom's.	Denne cykel er min, ikke Toms.
This car isn't mine. It's Tom's.	Denne bil er ikke min. Det er Toms.
This car isn't mine. It's Tom's.	Den her er ikke min bil. Det er Toms.
This grass is too wet to sit on.	Græsset er for fugtigt til at man kan sidde på det.
This has nothing to do with you.	Det har ikke noget med dig at gøre.
This movie has French subtitles.	Denne film har franske undertekster.
Throw away these rotten bananas.	Smid de her rådne bananer væk.
To the best of my knowledge, no.	Så vidt jeg ved, nej!
To the best of my knowledge, no.	Ikke så vidt jeg ved!
Today is too hot for sunbathing.	I dag er det for varmt til at solbade.
Tokyo Station is the third stop.	Tokyo station er det tredje stop.
Tolstoy achieved worldwide fame.	Tolstoj opnåede verdensberømmelse.
Tom admitted that he was scared.	Tom indrømmede at han var bange.
Tom and Mary are both Canadians.	Tom og Mary er begge canadiere.
Tom and Mary broke up last week.	Tom og Mary slog op i sidste uge.
Tom and Mary had three children.	Tom og Mary havde tre børn.
Tom and Mary have been drinking.	Tom og Mary har drukket.
Tom and Mary won't visit Boston.	Tom og Mary kommer ikke til at besøge Boston.
Tom bought drinks for everybody.	Tom købte drinks til alle.
Tom bought drinks for everybody.	Tom gav en omgang.
Tom came to our house uninvited.	Tom kom uinviteret til vores hus.
Tom can be very scary sometimes.	Tom kan være skræmmende til tider.
Tom didn't tell Mary everything.	Tom fortalte ikke Mary alt.
Tom didn't use to drink so much.	Tom plejede ikke at drikke så meget.
Tom didn't want to go to school.	Tom ville ikke i skole.
Tom didn't want to say anything.	Tom ville ikke sige noget.
Tom didn't want to sell his car.	Tom ville ikke sælge sin bil.
Tom disappeared on October 20th.	Tom forsvandt den 20. oktober.
Tom doesn't have a passport yet.	Tom har endnu ikke et pas.
Tom doesn't like scrambled eggs.	Tom kan ikke lide røræg.
Tom doesn't need three bicycles.	Tom har ikke brug for tre cykler.
Tom doesn't think Mary is happy.	Tom tror ikke at Mary er lykkelig.
Tom emptied the bucket of water.	Tom tømte spanden med vand.
Tom forged his boss's signature.	Tom forfalskede sin chefs underskrift.
Tom forgot to water the flowers.	Tom glemte at vandene blomsterne.
Tom gave Mary half of the apple.	Tom gav Mary halvdelen af æblet.
Tom gave it to the wrong person.	Tom gav det til den forkerte person.
Tom got a hamster for Christmas.	Tom fik en hamster til jul.
Tom had to run to catch the bus.	Tom var nød til at løbe for at nå bussen.
Tom has a good head for numbers.	Tom har flair for tal.
Tom has decided to quit smoking.	Tom har besluttet at holde op med at ryge.
Tom hasn't seen Mary since 2013.	Tom har har ikke set Mary siden 2013.
Tom hasn't thought this through.	Tom har ikke gennemtænkt dette.
Tom hopes to see you in October.	Tom håber at se dig til oktober.
Tom hopes to see you in October.	Tom håber at se dig i oktober.
Tom hung a calendar on the wall.	Tom hængte en kalender op på væggen.
Tom is a very temperamental guy.	Tom er en meget temperamentsfuld fyr.
Tom is a world-famous conductor.	Tom er en verdensberømt dirigent.
Tom is afraid to tell the truth.	Tom er bange for at sige sandheden.
Tom is always open to new ideas.	Tom er altid åben for nye ideer.
Tom is an informant for the FBI.	Tom er meddeler for forbundspolitiet.
Tom is an informant for the FBI.	Tom er meddeler for FBI.
Tom is approximately Mary's age.	Tom er omtrent på Marys alder.
Tom is awfully skinny, isn't he?	Tom er forfærdelig tynd, er han ikke?
Tom is good at soccer, isn't he?	Tom er god til fodbold, er han ikke?
Tom is my husband's middle name.	Tom er min mands mellemnavn.
Tom is no longer a patient here.	Tom er ikke længere patient her.
Tom is obviously a good teacher.	Tom er tydeligvis en god lærer.
Tom is obviously a little upset.	Tom er tydeligvis lidt ked af det.
Tom is the tallest in his class.	Tom er den højeste i klassen.
Tom is throwing stones at birds.	Tom kaster med sten efter fugle.
Tom is unable to work this week.	Tom er ude af stand til at arbejde i denne uge.
Tom is unable to work this week.	Tom kan ikke arbejde i denne uge.
Tom is waiting for Mary to call.	Tom venter på at Mary ringer.
Tom is waiting for Mary to call.	Tom venter på Marys opkald.
Tom kick-started his motorcycle.	Tom kickstartede sin motorcykel.
Tom left Boston on October 20th.	Tom forlod Boston den 20. oktober.
Tom left home a few minutes ago.	Tom tog hjemmefra for et par minutter siden.
Tom likes hanging out with Mary.	Tom kan lide at hænge ud med Mary.
Tom often cries when he's drunk.	Tom græder tit når han er fuld.
Tom opened the trunk of the car.	Tom åbnede bagagerummet på bilen.
Tom passed away three years ago.	Tom gik bort for tre år siden.
Tom passed away three years ago.	Tom døde for tre år siden.
Tom promised to be here by 2:30.	Tom lovede at være her senest 2:30.
Tom promised to be here by 2:30.	Tom lovede at være her senest 14:30.
Tom put his wallet on the table.	Tom lagde sin pung på bordet.
Tom ran a hand through his hair.	Tom kørte en hånd igennem sit hår.
Tom retired on October 20, 2013.	Tom gik på pension den 20. oktober 2013.
Tom said he needed a dozen eggs.	Tom sagde at han havde brug for tolv æg.
Tom says he has a secret weapon.	Tom siger han har et hemmeligt våben.
Tom says he has a secret weapon.	Tom siger at han har et hemmeligt våben.
Tom says he's working very hard.	Tom siger, han arbejder meget hårdt.
Tom slept most of the afternoon.	Tom sov det meste af eftermiddagen.
Tom sold his motorcycle to Mary.	Tom solgte sin motorcykel til Mary.
Tom speaks French as well as me.	Tom taler lige så godt fransk som jeg.
Tom speaks French like a native.	Tom taler fransk som en indfødt.
Tom speaks with a French accent.	Tom taler med fransk accent.
Tom spoke French quite fluently.	Tom talte fransk ret flydende.
Tom thanked Mary for her advice.	Tom takkede Mary for hendes råd.
Tom waited a good hour for Mary.	Tom ventede på Mary i lidt over en time.
Tom wanted Mary to learn French.	Tom ønskede at Mary skulle lære fransk.
Tom wanted some more elbow room.	Tom ønskede lidt mere albuerum.
Tom wanted some more elbow room.	Tom ønskede noget mere albuerum.
Tom wants to eat some apple pie.	Tom ønsker at spise æblekage.
Tom wants to sleep on the beach.	Tom vil sove på stranden.
Tom wants to sleep on the beach.	Tom ønsker at sove på stranden.
Tom was alone on an empty beach.	Tom var alene på den tomme strand.
Tom was convinced, but I wasn't.	Tom var overbevist, men det var jeg ikke.
Tom was in a bad mood yesterday.	Tom var i dårligt humør i går.
Tom was killed with a tire iron.	Tom blev dræbt med et dækjern.
Tom was surprised by the answer.	Tom blev overrasket over svaret.
Tom went to the beach last week.	Tom tog til stranden i sidste uge.
Tom will arrive on October 20th.	Tom ankommer den 20. oktober.
Tom works at a local restaurant.	Tom arbejder i en lokal restaurant.
Two families live in that house.	I det hus bor to familier.
War is a crime against humanity.	Krig er en forbrydelse mod menneskeheden.
Water was dripping from the tap.	Vandet dryppede fra vandhanen.
We advertise our products on TV.	Vi reklamerer for vores produkter på tv.
We advertise our products on TV.	Vi gør reklame for vores produkter på tv.
We are in a difficult situation.	Nu er gode råd dyre.
We found a turtle in the garden.	Vi fandt en skildpadde i haven.
We gave blood to help the child.	Vi gav blod for at hjælpe barnet.
We have a cat. We all love cats.	Vi har en kat. Vi kan alle lide katte.
We have a stock of toilet paper.	Vi har en beholdning af toiletpapir.
We have a stock of toilet paper.	Vi har en beholdning af wc-papir.
We have a stock of toilet paper.	Vi har en beholdning af WC-papir.
We have a stock of toilet paper.	Vi har et lager af toiletpapir.
We hurried to the train station.	Vi skyndte os til togstationen.
We hurried to the train station.	Vi skyndte os til stationen.
We must've taken the wrong road.	Vi må have taget den forkerte vej.
We often talk about the weather.	Vi taler tit om vejret.
We saw many ships in the harbor.	Vi så mange skibe i havnen.
We stood at the door and waited.	Vi stod ved døren og ventede.
We went for a walk on the beach.	Vi gik en spadseretur ved stranden.
We went for a walk on the beach.	Vi gik en spadseretur på stranden.
We were poor, but we were happy.	Vi var fattige, men vi var lykkelige.
We were poor, but we were happy.	Vi var fattige, men vi var glade.
We're coming together as a team.	Vi kommer sammen som et hold.
We've talked a lot on the phone.	Vi har talt meget over telefonen.
What I want is a word processor.	Hvad jeg ønsker mig, er et tekstbehandlingsprogram.
What are you doing in the attic?	Hvad laver du på loftet?
What bothers me is his attitude.	Hvad der generer mig, er hans indstilling.
What color are your wife's eyes?	Hvilken farve har din kones øjne?
What did Tom talk to Mary about?	Hvad talte Tom med Mary om?
What did you do with my glasses?	Hvad har du gjort ved mine briller?
What do you have up your sleeve?	Hvad har du i ærmet?
What do you think of my new hat?	Hvad synes du om min nye hat?
What else have you got going on?	Hvad ellers har du gang i?
What else would you like to see?	Hvad mere vil du gerne se?
What is it you have against Tom?	Hvad er det du har imod Tom?
What is the price of this watch?	Hvad koster dette ur?
What kind of car does Tom drive?	Hvad slags bil kører Tom i?
What's the meaning of this word?	Hvad betyder det her ord?
What's the meaning of this word?	Hvad betyder dette ord?
When did you last hear from Tom?	Hvornår har du sidst hørt fra Tom?
Where can I check in my luggage?	Hvor kan jeg tjekke min bagage ind?
Where can I get the airport bus?	Hvor kan jeg tage lufthavnsbussen?
Where did you get that document?	Hvor har du fået det dokument fra?
White doves are beautiful birds.	Hvide duer er smukke fugle.
Whoever guesses the number wins.	Den som gætter tallet, vinder.
Why did you stay home yesterday?	Hvorfor blev du hjemme i går?
Why didn't you go to the police?	Hvorfor gik du ikke til politiet?
Why don't we go and see a movie?	Hvorfor tager vi ikke hen og ser en film?
Why don't you have a girlfriend?	Hvorfor har du ikke en kæreste?
Wild animals live in the forest.	I skoven lever der vilde dyr.
Will you help me translate this?	Vil du hjælpe mig med at oversætte dette?
Would you move your car, please?	Vil du være så venlig at flytte din bil?
Yesterday a truck hit this wall.	I går ramte en lastbil denne mur.
You are impossible to deal with.	Du er umulig at håndtere.
You are twice as strong as I am.	Du er dobbelt så stærk som jeg er.
You can speak French, can't you?	Du kan tale fransk, kan du ikke?
You can't be two places at once.	Man kan ikke være to steder på en gang.
You could at least buy a hybrid.	Du kunne i det mindste købe en hybridbil.
You don't need to speak so loud.	Du behøver ikke at tale så højt.
You guys love each other, right?	I elsker hinanden, ikke sandt?
You guys should be more careful.	I burde være mere forsigtige.
You know some French, don't you?	Du kan noget fransk, kan du ikke?
You know that I don't like eggs.	Du ved jeg ikke kan lide æg.
You know that I don't like eggs.	Du ved at jeg ikke kan lide æg.
You look gorgeous in that dress.	Du ser strålende ud i den kjole.
You look gorgeous in that dress.	Du ser pragtfuld ud i den kjole.
You look gorgeous in that dress.	Du ser bedårende ud i den kjole.
You look gorgeous in that dress.	Du ser skøn ud i den kjole.
You told me not to tell anybody.	Du sagde, at jeg ikke skulle sige det til nogen.
You'll pay for what you've done!	Du kommer til at betale for det du har gjort!
You're about my age, aren't you?	Du er på alder med mig, er du ikke?
You're skating on very thin ice.	Du er på meget tynd is.
You've got bags under your eyes.	Du har poser under øjnene.
Your brother is asking for help.	Din bror beder om hjælp.
Your guitar is better than mine.	Din guitar er bedre end min.
"Tom likes Mary." "Yeah, I know."	"Tom kan lide Mary." "Ja, jeg ved det."
"Tom likes Mary." "Yeah, I know."	"Tom kan lide Mary." "Ja, det ved jeg godt."
A coin dropped out of his pocket.	En mønt faldt ud af hans lomme.
A river flows through the valley.	En flod løber gennem dalen.
About how much money do you have?	Cirka hvor mange penge har du?
About how much money do you need?	Cirka hvor mange penge har du brug for?
Agnès looked at the brown boats.	Agnès kiggede på de brune både.
All of us want prices to decline.	Vi vil allesammen gerne have at priserne falder.
Are there any apples on the tree?	Er der nogen æbler på træet?
Are you hiding something from me?	Er der noget du ikke fortæller mig?
Are you hiding something from me?	Skjuler du noget for mig?
Are you sure this is a good idea?	Er du sikker på at dette er en god ide?
Armenia is a mountainous country.	Armenien er et bjergrigt land.
Bring me a cup of coffee, please.	Bring mig venligst en kop kaffe.
Can you help me plant this shrub?	Kan du hjælpe mig med at plante denne busk?
Can you tell me the time, please?	Kunne du venligst fortælle mig hvad klokken er?
Can you tell me the time, please?	Kunne du venligst sige mig hvad klokken er?
Cats can see even in dark places.	Katte kan se, selv på mørke steder.
Could you lend me a helping hand?	Giv mig en hånd.
DNA tests showed he was innocent.	Dna-test viste at han var uskyldig.
DNA tests showed he was innocent.	Dna-tests viste at han var uskyldig.
DNA tests showed he was innocent.	Dna-prøver viste at han var uskyldig.
DNA tests showed he was innocent.	DNA-tests viste at han var uskyldig.
DNA tests showed he was innocent.	DNA-test viste at han var uskyldig.
DNA tests showed he was innocent.	DNA-prøver viste at han var uskyldig.
Darkness is the absence of light.	Mørke er fravær af lys.
Did you find your contact lenses?	Fandt du dine kontaktlinser?
Did you see grandpa's wheelchair?	Har du set bedstefars rullestol?
Did you see grandpa's wheelchair?	Har I set bedstefars rullestol?
Do you have one a little smaller?	Har du en lidt mindre?
Do you remember your grandfather?	Kan du huske din bedstefar?
Do you remember your grandfather?	Husker du din bedstefar?
Do you still buy lottery tickets?	Køber du stadigvæk lottokuponer?
Do you want to ask me a question?	Ønsker du at stille mig et spørgsmål?
Do you want to crash at my place?	Vil du overnatte hjemme hos mig?
Does your boyfriend speak French?	Taler din kæreste fransk?
Does your friend speak Esperanto?	Taler din ven esperanto?
Don't change horses in midstream.	Skift ikke heste midt i floden.
Don't compare me to a movie star.	Sammenlign mig ikke med en filmstjerne.
Don't forget to mail this letter.	Glem ikke at poste dette brev.
Don't waste your time on trifles.	Spild ikke tiden på bagateller.
Even children can read this book.	Selv børn kan læse denne bog.
Everything is better without you.	Alt er bedre uden dig.
Get in. I'll drive you somewhere.	Stig ind. Jeg vil køre dig et eller andet sted hen.
Gold is more expensive than lead.	Guld er dyrere end bly.
Guess whose birthday it is today.	Gæt hvis fødselsdag det er i dag!
Half of what Tom says isn't true.	Halvdelen af det Tom siger, er ikke sandt.
Have you already eaten some cake?	Har du allerede spist kage?
Have you ever eaten Mexican food?	Har du nogensinde spist mexicansk mad?
Have you ever eaten Turkish food?	Har du nogensinde spist tyrkisk mad?
Have you heard anything from Tom?	Har du hørt noget fra Tom?
Have you heard anything from Tom?	Har I hørt noget fra Tom?
Have you heard anything from Tom?	Har De hørt noget fra Tom?
Have you heard from her recently?	Har du hørt fra hende for nylig?
Have you read Tom Jackson's book?	Har du læst Tom Jacksons bog?
He always cries when he is drunk.	Han græder altid når han er fuld.
He always treats me like a child.	Han behandler mig altid som et barn.
He asked me where my uncle lived.	Han spurgte mig hvor min onkel boede.
He became wiser as he grew older.	Han blev klogere da han blev ældre.
He changed his attitude suddenly.	Han ændrede pludselig sin holdning.
He could not hold back his tears.	Han kunne ikke holde tårerne tilbage.
He didn't look like a clever boy.	Han lignede ikke en klog dreng.
He didn't respond to my question.	Han svarede ikke på mit spørgsmål.
He died from the cold last night.	Han døde af den sidste nats kulde.
He does not believe in evolution.	Han tror ikke på evolutionen.
He doesn't know much about Japan.	Han ved ikke meget om Japan.
He felt as if he were in a dream.	Han følte sig som i en drøm.
He has a car that has four doors.	Han har en bil der har fire døre.
He has a car that has four doors.	Han har en bil med fire døre.
He has a lot of books on history.	Han har mange bøger om historie.
He has all but finished the work.	Han er så godt som færdig med arbejdet.
He has money, but he's not happy.	Penge har han, men lykkelig er han ikke.
He is a wolf in sheep's clothing.	Han er en ulv i fåreklæder.
He is reading a book in his room.	Han læser en bog på sit værelse.
He kicked the ball with his foot.	Han sparkede til bolden med foden.
He knows a lot about butterflies.	Han ved meget om sommerfugle.
He knows how to curse in Chinese.	Han ved hvordan man bander på kinesisk.
He read the letter over and over.	Han læste brevet igen og igen.
He talks as if he were a teacher.	Han taler som om han var lærer.
He was accused of stealing money.	Han blev anklaget for at stjæle penge.
He was just thirty-six years old.	Han var blot 36 år gammel.
He was satisfied with the result.	Han var tilfreds med resultatet.
He was sent to a mental hospital.	Han blev sendt på et psykiatrisk hospital.
He was sick, so he couldn't come.	Han var syg, så han kunne ikke komme.
He weighs a lot more than before.	Han vejer meget mere end før.
He went on walking for two hours.	Han fortsatte med at gå i to timer.
He will often forget his promise.	Han glemmer tit hvad han har lovet.
He wiped the sweat from his face.	Han tørrede sveden fra ansigtet.
He wrote a lot of books on China.	Han skrev mange bøger om Kina.
He'll play golf even if it rains.	Han spiller golf, selvom det regner.
He's three years older than I am.	Han er tre år ældre end jeg er.
Her way of speaking irritates us.	Hendes måde at snakke på irriterer os.
Here are a few interesting facts.	Her er et par interessante fakta.
His house is surrounded by trees.	Hans hus er omgivet af træer.
His picture was in the newspaper.	Hans billede var i avisen.
Horses and donkeys are different.	Heste og æsler er forskellige.
How come you know French so well?	Hvordan kan det være at du kan fransk så godt?
How long do you think it'll take?	Hvor lang tid tror du det vil tage?
How often do you go to the beach?	Hvor tit tager du til stranden?
How often do you wash the dishes?	Hvor tit vasker du op?
How often do you wash the dishes?	Hvor ofte vasker du op?
I almost got run over by a truck.	Jeg blev næsten kørt over af en lastbil.
I always have eggs for breakfast.	Jeg spiser altid æg til morgenmad.
I always stay at home on Sundays.	Jeg bliver altid hjemme om søndagen.
I am a member of the tennis club.	Jeg er medlem af tennisklubben.
I am as sad and lonely as can be.	Jeg er så trist og ensom som det er muligt at være.
I asked him to go there tomorrow.	Jeg bad ham tage derhen i morgen.
I asked him to go there tomorrow.	Jeg bad ham gå derhen i morgen.
I ate a burger, then went to bed.	Jeg spiste en burger og gik derefter i seng.
I ate a burger, then went to bed.	Jeg spiste en burger og gik så i seng.
I ate a burger, then went to bed.	Jeg spiste en burger og gik derpå i seng.
I bought a new hat for my sister.	Jeg købte en ny hat til min søster.
I can recommend this book to you.	Jeg kan anbefale dig denne bog.
I can remember what it felt like.	Jeg kan huske, hvordan det føltes.
I can't believe we just did that.	Jeg kan ikke tro at vi lige har gjort det.
I can't hear what they're saying.	Jeg kan ikke høre hvad de siger.
I can't imagine life without Tom.	Jeg kan ikke forestille mig et liv uden Tom.
I can't imagine living like that.	Jeg kan ikke forestille mig at leve sådan.
I can't stand the sight of blood.	Jeg kan ikke klare synet af blod.
I climbed to the top of Mt. Fuji.	Jeg klatrede op til toppen af Fuji-bjerget.
I could not help laughing at him.	Jeg kunne ikke lade være med at le ad ham.
I didn't know what to say to him.	Jeg vidste ikke hvad jeg skulle sige til ham.
I didn't think that would happen.	Jeg troede ikke at det ville ske.
I didn't think this would happen.	Jeg troede ikke at dette ville ske.
I didn't understand the question.	Jeg forstod ikke spørgsmålet.
I don't believe that's the truth.	Jeg tror ikke på at det er sandheden.
I don't drink all that much beer.	Jeg drikker ikke så meget øl.
I don't like chocolate ice cream.	Jeg kan ikke lide chokoladeis.
I don't remember Tom's last name.	Jeg kan ikke huske Toms efternavn.
I don't think that she will come.	Jeg tror ikke at hun vil komme.
I don't think that's a real word.	Jeg tror ikke, at det er et rigtigt ord.
I don't understand French at all.	Jeg forstår slet ikke fransk.
I don't understand French at all.	Jeg forstår overhovedet ikke fransk.
I don't want to hear any excuses.	Jeg vil ikke høre nogen undskyldninger.
I don't want to hear any excuses.	Jeg ønsker ikke at høre nogen undskyldninger.
I don't want to take any chances.	Jeg vil ikke tage nogen chancer.
I exercise for an hour every day.	Jeg motionerer en time hver dag.
I exercise for an hour every day.	Jeg motionerer en time om dagen.
I feel sick whenever I see blood.	Jeg får det skidt når jeg ser blod.
I gave up smoking six months ago.	Jeg holdt op med at ryge for seks måneder siden.
I gave you everything you wanted.	Jeg gav dig alt det du ønskede.
I gave you everything you wanted.	Jeg gav dig alt hvad du ønskede.
I have a few tricks up my sleeve.	Jeg har et par tricks i ærmet.
I have a first-aid kit in my car.	Jeg har en førstehjælpskasse i min bil.
I have a friend living in Boston.	Jeg har en ven der bor i Boston.
I have a little money this month.	Jeg har lidt penge i denne måned.
I have a sore throat and a fever.	Jeg har ondt i halsen og jeg har feber.
I have as many books as Tom does.	Jeg har lige så mange bøger som Tom.
I have as many books as Tom does.	Jeg har lige så mange bøger som Tom har.
I have trouble remembering names.	Jeg har svært ved at huske navne.
I haven't read any of his novels.	Jeg har ikke læst nogen af hans romaner.
I heard someone opening the door.	Jeg hørte nogen åbne døren.
I hope Tom knows what he's doing.	Jeg håber Tom ved hvad han gør.
I hope no one saw me kissing Tom.	Jeg håber ingen så mig kysse Tom.
I hope nobody saw me kissing Tom.	Jeg håber ingen så mig kysse Tom.
I hope we have a white Christmas.	Jeg håber vi får en hvid jul.
I just downloaded a lot of files.	Jeg har lige downloadet en masse filer.
I just saw Tom and Mary together.	Jeg har lige set Tom og Mary sammen.
I knew Tom was holding out on me.	Jeg vidste at Tom holdt mig hen.
I know what Tom is talking about.	Jeg ved hvad Tom taler om.
I know you have feelings for Tom.	Jeg ved du har følelser for Tom.
I know you're in there somewhere.	Jeg ved, du er derinde et sted.
I left Australia on October 20th.	Jeg forlod Australien den 20. oktober.
I live next door to the toy shop.	Jeg bor ved siden af ​​legetøjsbutikken.
I love the sound of church bells.	Jeg elsker lyden af ​​kirkeklokker.
I made a complete fool of myself.	Jeg gjorde mig komplet til grin.
I must've left my wallet at home.	Jeg må have efterladt min pung derhjemme.
I promised him to keep it secret.	Jeg lovede ham at holde det hemmeligt.
I really appreciate your company.	Jeg sætter virkelig pris på dit selskab.
I really don't want to miss that.	Jeg ønsker virkelig ikke at gå glip af det.
I saw the plane hit the building.	Jeg så flyet ramme bygningen.
I solved the problem in this way.	Jeg har løst problemet på denne måde.
I solved the problem in this way.	Jeg løste problemet på denne måde.
I think I've forgotten something.	Jeg tror jeg har glemt noget.
I think jogging is good exercise.	Jeg synes at jogging er god motion.
I think you did an excellent job.	Jeg synes at du har gjort et fremragende stykke arbejde.
I thought I told you not to come.	Jeg troede at jeg sagde til dig, at du ikke skulle komme.
I thought I told you not to come.	Jeg troede at jeg fortalte dig, at du ikke skulle komme.
I thought I would find you there.	Jeg tænkte at jeg ville finde dig her.
I thought Tom would live forever.	Jeg troede Tom ville leve for evigt.
I thought you were older than me.	Jeg troede du var ældre end mig.
I took the wheels off my bicycle.	Jeg tog hjulene af min cykel.
I used to go to church on Sunday.	Jeg gik i kirke om søndagen.
I want to know who told Tom that.	Jeg vil gerne vide, hvem der fortalte Tom det.
I want to learn standard English.	Jeg ønsker at lære standardengelsk.
I want you to turn off the radio.	Jeg vil gerne have at du slukker for radioen.
I want you to turn off the radio.	Jeg vil gerne have dig til at slukke for radioen.
I was born on October 10th, 1972.	Jeg blev født den 10. oktober 1972.
I was in New York for a few days.	Jeg var nogle dage i New York.
I wouldn't have said it that way.	Jeg ville ikke have sagt det på den måde.
I wouldn't mind a beer right now.	Jeg ville ikke have noget imod en øl lige nu.
I wouldn't mind a beer right now.	Lige nu ville jeg ikke have noget imod en øl.
I'd like to sit here for a while.	Jeg vil gerne sidde her for en stund.
I'll be lonely after you've gone.	Jeg vil føle mig ensom når du er gået.
I'll come back tomorrow if I can.	Jeg kommer tilbage i morgen hvis jeg kan.
I'll put his courage to the test.	Jeg vil sætte hans mod på prøve.
I'll teach you how to play chess.	Jeg vil lære dig hvordan man spiller skak.
I'm assuming this is your father.	Jeg antager at det er din far.
I'm convinced my son is innocent.	Jeg er overbevist om at min søn er uskyldig.
I'm going to go use the restroom.	Jeg skal bruge toilettet.
I'm going to send Tom some money.	Jeg vil sende nogle penge til Tom.
I'm going to try to quit smoking.	Jeg har tænkt mig at prøve på at holde op med at ryge.
I'm looking for my ballpoint pen.	Jeg leder efter min kuglepen.
I'm looking forward to Christmas.	Jeg glæder mig til jul.
I'm not that much older than you.	Jeg er ikke så meget ældre end dig.
I'm old enough to live by myself.	Jeg er gammel nok til at bo for mig selv.
I'm responsible for Tom's safety.	Jeg er ansvarlig for Toms sikkerhed.
I'm tired of watching television.	Jeg er træt af at se fjernsyn.
I've already been here two hours.	Jeg har været her i to timer allerede.
I've already picked my successor.	Jeg har allerede valgt min efterfølger.
I've been a teacher for 15 years.	I femten år har jeg været lærer.
I've been trying to quit smoking.	Jeg har forsøgt at stoppe med at ryge.
I've got to go to the men's room.	Jeg er nødt til at gå på toilettet.
I've lived here for thirty years.	Jeg har boet her i tredive år.
I've never felt like this before.	Jeg har aldrig følt sådan her før.
I've never ridden a horse before.	Jeg har aldrig redet på en hest før.
I've worked with Tom a long time.	Jeg har arbejdet sammen med Tom i lang tid.
If it isn't broken, don't fix it.	Der er ingen grund til at reparere noget som stadig fungerer.
If only I'd been a little taller!	Hvis bare jeg havde været lidt højere!
In autumn the leaves turn yellow.	Om efteråret bliver bladene gule.
In the alphabet, B comes after A.	I alfabetet kommer B efter A.
Is your husband also from Boston?	Er din mand også fra Boston?
It is high time we said good-bye.	Det er på høje tid at sige farvel.
It is important to have a budget.	Det er vigtigt at have et budget.
It is said that he was very rich.	Det siges at han var meget rig.
It is said that he was very rich.	Man siger at han var meget rig.
It looks like it's going to rain.	Det ser ud til at der kommer regn.
It only took about three minutes.	Det tog kun omkring tre minutter.
It seems to me that he is honest.	Det forekommer mig at han er ærlig.
It was a one hundred dollar bill.	Det var en hundreddollarseddel.
It was dark and cold in the room.	Det var mørkt og koldt i værelset.
It was easy to find Tom's office.	Det var nemt at finde Toms kontor.
