Go.	Va !
Anyone hurt?	Quiconque est-il blessé ?
Anyone hurt?	Qui que ce soit est-il blessé ?
Are we done?	Avons-nous terminé ?
Are we done?	En avons-nous terminé ?
Are we lost?	Sommes-nous perdus ?
Are we lost?	Sommes-nous perdues ?
Are we safe?	Sommes-nous en sécurité ?
Are you Tom?	Êtes-vous Tom ?
Are you Tom?	Est-ce que tu es Tom ?
Are you hot?	As-tu chaud ?
Are you hot?	Avez-vous chaud ?
Are you mad?	Êtes-vous fou ?
Are you mad?	Es-tu folle ?
Are you mad?	Êtes-vous folle ?
Are you new?	Tu es nouveau ?
Are you sad?	Es-tu triste ?
As you like.	Comme tu veux.
As you like.	Comme vous voulez.
Ask anybody.	Demande à n'importe qui !
Ask anybody.	Demandez à n'importe qui !
Ask anybody.	Demande à qui que ce soit !
Ask anybody.	Demandez à qui que ce soit !
Be creative.	Soyez créatives !
Be creative.	Soyez créatifs !
Be creative.	Soyez créative !
Be creative.	Soyez créatif !
Be creative.	Sois créative !
Be creative.	Sois créatif !
Be discreet.	Sois discret !
Be discreet.	Sois discrète !
Be discreet.	Soyez discret !
Be discreet.	Soyez discrète !
Be discreet.	Soyez discrets !
Be discreet.	Soyez discrètes !
Be friendly.	Soyez amicales !
Be friendly.	Soyez amicaux !
Be friendly.	Soyez amicale !
Be friendly.	Soyez amical !
Be friendly.	Sois amicale !
Be friendly.	Sois amical !
Be generous.	Sois généreux.
Be merciful.	Sois clément !
Be merciful.	Sois clémente !
Be merciful.	Soyez clément !
Be merciful.	Soyez cléments !
Be merciful.	Soyez clémente !
Be merciful.	Soyez clémentes !
Be merciful.	Soyez miséricordieuses !
Be merciful.	Soyez miséricordieuse !
Be merciful.	Soyez miséricordieux !
Be merciful.	Sois miséricordieuse !
Be merciful.	Sois miséricordieux !
Be prepared.	Sois prêt !
Be prepared.	Tiens-toi prêt !
Be prepared.	Sois prête !
Be prepared.	Soyez prêt !
Be prepared.	Soyez prête !
Be prepared.	Soyez prêts !
Be prepared.	Soyez prêtes !
Be prepared.	Tiens-toi prête !
Be prepared.	Tenez-vous prêt !
Be prepared.	Tenez-vous prête !
Be prepared.	Tenez-vous prêts !
Be prepared.	Tenez-vous prêtes !
Be punctual.	Soyez ponctuelles !
Be punctual.	Soyez ponctuelle !
Be punctual.	Soyez ponctuels !
Be punctual.	Soyez ponctuel !
Be punctual.	Sois ponctuel !
Be punctual.	Sois ponctuelle !
Be ruthless.	Soyez impitoyable !
Be ruthless.	Soyez impitoyables !
Be ruthless.	Sois impitoyable !
Be sensible.	Soyez raisonnable !
Be sensible.	Soyez raisonnables !
Be sensible.	Sois raisonnable !
Be watchful.	Sois prudent !
Be watchful.	Sois prudente !
Be watchful.	Soyez prudent !
Be watchful.	Soyez prudente !
Be yourself.	Sois toi-même.
Be yourself.	Soyez vous-même.
Beer's good.	La bière est bonne.
Break it up!	Arrêtez !
Can I begin?	Puis-je commencer ?
Can it wait?	Cela peut-il attendre ?
Can we come?	Pouvons-nous venir ?
Can we help?	Pouvons-nous donner un coup de main ?
Can we stop?	Pouvons-nous arrêter ?
Can we talk?	Pouvons-nous parler ?
Can you see?	Arrives-tu à voir ?
Can you see?	Arrivez-vous à voir ?
Can you ski?	Savez-vous faire du ski ?
Can you ski?	Sais-tu faire du ski ?
Can you try?	Pouvez-vous essayer ?
Clean it up.	Nettoyez-le.
Clean it up.	Nettoie-le.
Come get it.	Viens le chercher.
Come get me.	Venez me chercher.
Come inside.	Entre.
Come off it!	Arrête ça !
Come off it!	Arrête de te la péter !
Come off it!	Arrête ton char !
Come off it!	Décroche de ça !
Come off it!	Change de disque !
Come off it!	Laisse tomber !
Come off it.	Laisse tomber.
Come off it.	Arrête ton char.
Cook for me.	Cuisine pour moi.
Cook for me.	Cuisinez pour moi.
Count me in.	Tu peux me compter dans le nombre.
Cover it up.	Couvrez-le.
Cover it up.	Camouflez-le.
Deal me out.	Ne compte pas sur moi.
Did Tom eat?	Est-ce que Tom a mangé ?
Did Tom eat?	Tom a-t-il mangé ?
Did it hurt?	Ça vous a fait mal ?
Did you win?	As-tu vaincu ?
Did you win?	L'avez-vous emporté ?
Did you win?	L'as-tu emporté ?
Do it again!	Fais-le encore une fois !
Do it again!	Refais-le !
Do it again!	Fais-le de nouveau !
Do it again!	Fais-le à nouveau !
Do it again!	Faites-le de nouveau !
Do it again!	Faites-le à nouveau !
Do it again!	Refaites-le !
Do it right.	Fais-le comme il faut !
Do it right.	Faites-le comme il faut !
Do you fish?	Vous pêchez ?
Do your job.	Fais ton boulot.
Don't cheat.	Ne triche pas.
Don't cheat.	Ne trichez pas.
Don't do it!	Ne le fais pas !
Don't do it!	Ne le faites pas !
Don't do it.	Ne le fais pas !
Don't do it.	Ne le faites pas !
Don't fight.	Ne vous battez pas.
Don't gloat.	Ne jubilez pas !
Don't gloat.	Ne jubile pas !
Don't laugh.	Ne ris pas.
Don't laugh.	Ne riez pas.
Don't leave!	Ne t'en va pas !
Don't leave!	Ne pars pas !
Don't leave!	Ne quittez pas !
Don't leave.	Ne pars pas !
Don't leave.	Ne partez pas !
Don't panic!	Ne panique pas !
Don't panic!	Ne paniquez pas !
Don't shoot!	Ne tire pas !
Don't shoot!	Ne tirez pas !
Don't shoot.	Ne tire pas !
Don't shoot.	Ne tirez pas !
Don't shout.	Ne crie pas.
Don't smile.	Ne souris pas.
Don't smile.	Ne souriez pas.
Don't smoke.	Ne fumez pas.
Don't speak.	Ne parle pas.
Don't worry.	T'inquiète pas.
Don't worry.	T'inquiète.
Don't worry.	Ne t'en fais pas.
Don't worry.	Ne vous en faites pas.
Don't worry.	Ne vous inquiétez pas.
Finish this.	Finis ça.
Finish this.	Finissez ceci.
Flip a coin.	Lance une pièce !
Forgive Tom.	Pardonne Tom.
Get dressed.	Habille-toi.
Get dressed.	Habillez-vous.
Get serious.	Sois sérieux.
Get the box.	Prends la boîte.
Get the box.	Prenez la boîte.
Go have fun.	Amuse-toi bien.
Go have fun.	Vas-y, amuse-toi.
Go home now.	Va chez toi, maintenant.
Go home now.	Va chez nous, maintenant.
Go home now.	Va à la maison, maintenant.
Go home now.	Allez chez vous, maintenant.
Go home now.	Allez à la maison, maintenant.
Go on ahead.	Continue en avant.
Go to sleep.	Va dormir !
Go with Tom.	Va avec Tom.
Go with Tom.	Allez avec Tom.
Grab a seat.	Prends-toi un siège !
Have a beer.	Prends une bière !
Have a look.	Regarde !
Have a look.	Regardez !
Have a look.	Jette un œil !
Have a look.	Jetez un œil !
Have a seat.	Prenez place.
Have a seat.	Prends place.
Have we met?	Nous sommes-nous rencontrés ?
He can come.	Il peut venir.
He can read.	Il peut lire.
He can swim.	Il sait nager.
He chuckled.	Il gloussa.
He chuckled.	Il a gloussé.
He found it.	Il le trouva.
He found it.	Il l'a trouvé.
He got away.	Il s'en est sorti.
He grew old.	Il devint vieux.
He grew old.	Il est devenu vieux.
He has come!	Il est venu !
He has guts.	Il a des tripes.
He has wine.	Il a du vin.
He helps us.	Il nous aide.
He is drunk.	Il est ivre.
He is drunk.	Il est soûl.
He is eight.	Il a huit ans.
He is hated.	Il est haï.
He is nasty.	Il est méchant.
He is young.	Il est jeune.
He likes me.	Il m'aime bien.
He likes me.	Il m'apprécie.
He loves me.	Il m'aime.
He loves us.	Il nous aime.
He needs it.	Il en a besoin.
He resigned.	Il démissionna.
He squinted.	Il loucha.
He squinted.	Il a louché.
He stood up.	Il se mit debout.
He stood up.	Il se dressa.
He stood up.	Il s'est levé.
He was busy.	Il était occupé.
He's a hunk.	C'est un beau mec.
He's a hunk.	C'est un beau gosse.
He's a jerk.	C'est un pauvre type.
He's a liar.	C'est un menteur.
He's a nerd.	C'est un binoclard.
He's a slob.	C'est un flemmard.
He's asleep.	Il est endormi.
He's coming.	Il arrive.
He's coming.	Il est en train d'arriver.
He's crying.	Il est en train de pleurer.
He's faking.	Il simule.
He's loaded.	Il est blindé.
He's loaded.	Il est pété de thune.
He's loaded.	Il est plein aux as.
He's my age.	Il a mon âge.
He's not in.	Il n'est pas chez lui.
He's not in.	Il n'est pas à l'intérieur.
He's not in.	Il n'est pas là.
Help me out.	Aide-moi à sortir.
Help me out.	Aidez-moi à sortir.
Here I come.	J'arrive.
Here I come.	Me voici.
Here she is!	La voilà !
Here we are!	Nous voilà !
Here we are!	Nous voici !
Here we are!	Nous y voilà !
Here we are.	On y est.
Here we are.	Nous y voici.
Here we are.	Nous y voilà !
Here, catch!	Ici, attrape !
How are you?	Comment vas-tu ?
How are you?	Comment allez-vous ?
How are you?	Ça va ?
How are you?	Comment il va ?
How are you?	Comment allons-nous ?
How are you?	Comment ça va ?
How curious!	Comme c'est curieux !
How is life?	Comment est la vie ?
I also went.	J'y suis également allé.
I am a cook.	Je suis cuisinier.
I am a monk.	Je suis un moine.
I am a twin.	J'ai un jumeau.
I am better.	Je vais mieux.
I am better.	Je suis mieux.
I am coming.	J'arrive.
I am joking.	Je plaisante.
I am single.	Je suis célibataire.
I am taller.	Je suis plus grand.
I apologize.	Je vous prie de m'excuser.
I asked Tom.	J'ai demandé à Tom.
I assume so.	Je le suppose.
I bought it.	Je l'ai acheté.
I buried it.	Je l'ai enterré.
I buried it.	Je l'ai enterrée.
I burned it.	Je l'ai brûlé.
I burned it.	Je l'ai brûlée.
I came back.	Je suis revenu.
I can dance.	Je sais danser.
I can do it.	Je peux le faire.
I can do it.	Je peux y arriver.
I can do it.	Je peux y parvenir.
I can do it.	J'arrive à le faire.
I can't eat.	Je ne peux pas manger.
I can't say.	Je ne puis le dire.
I can't say.	Je ne peux le dire.
I can't see.	Je n'arrive pas à voir.
I can't see.	Je ne parviens pas à voir.
I can't see.	Je suis aveugle.
I can't win.	Je ne peux gagner.
I can't win.	Je ne peux pas gagner.
I can't win.	Je ne puis gagner.
I caught it.	Je l'ai attrapé.
I caught it.	Je l'ai attrapée.
I confessed.	J'ai confessé.
I confessed.	Je l'ai confessé.
I could try.	Je pourrais essayer.
I cut class.	J'ai séché.
I didn't go.	Je n'y suis pas allé.
I didn't go.	Je n'y suis pas allée.
I didn't go.	Je ne m'y suis pas rendu.
I didn't go.	Je ne m'y suis pas rendue.
I disagreed.	J’ai marqué mon désaccord.
I dozed off.	J'ai piqué du nez.
I eat a lot.	Je mange beaucoup.
I eat alone.	Je mange seul.
I eat alone.	Je mange seule.
I eat bread.	Je mange du pain.
I eat fruit.	Je mange des fruits.
I exercised.	Je me suis entraîné.
I exercised.	Je me suis entraînée.
I feel blue.	Je me sens déprimé.
I feel blue.	Je me sens déprimée.
I feel cold.	J'ai froid.
I feel fine.	Je me sens bien.
I feel good.	Je me sens bien.
I feel lost.	Je me sens perdu.
I feel lost.	Je me sens perdue.
I feel safe.	Je me sens en sécurité.
I feel sick.	Je me sens mal.
I feel weak.	Je me sens faible.
I feel well.	Je me sens bien.
I felt dumb.	Je me suis senti idiot.
I felt dumb.	Je me suis sentie idiote.
I felt fear.	J'ai ressenti de la peur.
I felt good.	Je me sentais bien.
I felt safe.	Je me suis senti en sécurité.
I felt safe.	Je me suis sentie en sécurité.
I got bored.	J'ai commencé à m'ennuyer.
I got dizzy.	J'ai été pris de vertiges.
I got dizzy.	J'ai été prise de vertiges.
I got fined.	On m'a mis une amende.
I got fined.	On m'a collé une amende.
I got fined.	J'ai pris une prune.
I got fined.	J'ai été verbalisé.
I got fined.	J'ai été verbalisée.
I got fined.	On m'a mis une prune.
I got fined.	Je me suis fait verbaliser.
I got fined.	J'ai pris une contravention.
I got fined.	On m'a mis une contravention.
I got fined.	J'ai pris une contredanse.
I got fined.	On m'a mis une contredanse.
I got lucky.	J'ai eu de la chance.
I got lucky.	J'ai eu du bol.
I got upset.	J'ai été contrariée.
I got upset.	Je me suis fâchée.
I got upset.	Je me suis fâché.
I got upset.	J'ai été contrarié.
I guess not.	J'imagine que non.
I guess not.	Je suppose que non.
I had to go.	Je devais y aller.
I hate dogs.	Je déteste les chiens.
I hate dogs.	Je hais les chiens.
I hate fish.	Je déteste le poisson.
I hate golf.	Je déteste le golf.
I hate milk.	Je déteste le lait.
I hate sand.	Je déteste le sable.
I hate sand.	Je hais le sable.
I hate that.	Je déteste ça.
I hate them.	Je les déteste.
I hate this.	Je déteste ça.
I hate work.	Je déteste le travail.
I have cash.	J'ai du liquide.
I have cash.	Je dispose de liquide.
I have eyes.	J'ai des yeux.
I have food.	J'ai de la nourriture.
I have food.	Je dispose de nourriture.
I have news.	J'ai des nouvelles.
I have time.	J'ai du temps.
I have time.	Je dispose de temps.
I have wine.	J'ai du vin.
I hesitated.	J’ai hésité.
I know that.	Je le sais.
I know them.	Je les connais.
I know this.	Je sais ça.
I know this.	Je le sais.
I like beer.	J'aime la bière.
I like blue.	J'aime le bleu.
I like blue.	J'apprécie le bleu.
I like both.	J'aime les deux.
I like both.	Les deux me plaisent.
I like cake.	J'aime les gâteaux.
I like cats.	J'aime les chats.
I like cats.	J’aime les chats.
I like dogs.	J'aime les chiens.
I like jazz.	J'apprécie le jazz.
I like math.	J'aime les maths.
I like milk.	J'aime le lait.
I like rice.	J'aime le riz.
I like rock.	J'aime le rock.
I like that.	J'aime cela.
I like that.	J'apprécie cela.
I like them.	Je les apprécie.
I like this.	Je l'apprécie.
I like this.	J'apprécie ceci.
I liked Tom.	J'ai aimé Tom.
I live here.	J'habite ici.
I love Mary.	J'aime Mary.
I love golf.	J'adore le golf.
I love kids.	J'adore les enfants.
I love life.	J'adore la vie.
I loved you.	Je t'aimais.
I loved you.	Je t'ai aimé.
I loved you.	Je t'ai aimée.
I made rice.	J'ai fait du riz.
I messed up.	J'ai merdé.
I messed up.	J'ai foiré.
I messed up.	J'ai dégueulassé.
I messed up.	J'ai sali.
I messed up.	J'ai mis la pagaille.
I messed up.	J'ai mis le souk.
I must hide.	Je dois me cacher.
I must obey.	Il me faut obéir.
I must obey.	Je dois obéir.
I nailed it.	C'est dans la poche !
I nailed it.	Je l'ai cloué.
I nailed it.	J'ai mis la main dessus.
I need food.	Il me faut de la nourriture.
I need glue.	J'ai besoin de colle.
I need more.	Il m'en faut davantage.
I need more.	Il m'en faut plus.
I need some.	J'en ai besoin.
I need that.	Il me faut ça.
I need that.	J'en ai besoin.
I need that.	C'est ce qu'il me faut.
I need them.	J'ai besoin d'eux.
I need them.	J'ai besoin d'elles.
I need time.	Il me faut du temps.
I need time.	J'ai besoin de temps.
I never bet.	Je ne parie jamais.
I never bet.	Je n'ai jamais parié.
I never win.	Je ne gagne jamais.
I never win.	Jamais je ne l'emporte.
I often ski.	Je skie souvent.
I oppose it.	J'y suis opposé.
I oppose it.	Je m'y oppose.
I pay taxes.	Je paie des impôts.
I pay taxes.	Je paye des accises.
I protested.	J’ai protesté.
I read lips.	Je lis sur les lèvres.
I recovered.	Je me suis remis.
I recovered.	Je me suis remise.
I recovered.	Je m'en suis remis.
I recovered.	Je m'en suis remise.
I said stop.	J'ai dit stop.
I said that.	J'ai dit ça.
I saved you.	Je t'ai sauvé.
I saved you.	Je t'ai sauvée.
I saved you.	Je vous ai sauvé.
I saved you.	Je vous ai sauvée.
I saved you.	Je vous ai sauvées.
I saved you.	Je vous ai sauvés.
I saw a dog.	J'ai vu un chien.
I sell cars.	Je vends des voitures.
I should go.	Je devrais partir.
I should go.	Je devrais y aller.
I smell gas.	Je sens le gaz.
I struggled.	J’ai lutté.
I succeeded.	J’ai réussi.
I surrender.	Je me rends.
I thank you.	Je te remercie.
I trust her.	Je lui fais confiance.
I trust him.	J'ai confiance en lui.
I trust him.	Je lui fais confiance.
I trust you.	Je me fie à toi.
I trust you.	J'ai confiance en toi.
I waited up.	J'ai veillé.
I want Mary.	Je veux Mary.
I want cash.	Je veux du liquide.
I want eggs.	Je veux des œufs.
I want kids.	Je veux des enfants.
I want mine.	Je veux le mien.
I want mine.	Je veux la mienne.
I want more.	J'en veux davantage.
I want more.	Je veux davantage.
I want soup.	Je veux de la soupe.
I want that.	Je le veux.
I want that.	Moi je veux ça.
I want them.	Je les veux.
I want this.	Je veux ceci.
I want time.	Je veux du temps.
I was alone.	J'étais seul.
I was alone.	Je me trouvais seul.
I was alone.	Je me trouvais seule.
I was bored.	Je m'ennuyais.
I was broke.	J'étais sans le sou.
I was dizzy.	J'avais la tête qui tournait.
I was dizzy.	La tête me tournait.
I was drunk.	J'étais ivre.
I was fired.	J'ai été licencié.
I was fired.	J'ai été viré.
I was fired.	On m'a saqué.
I was hired.	J'ai été engagé.
I was lucky.	J'ai eu de la chance.
I was moved.	J'étais ému.
I was naive.	J'étais crédule.
I was naive.	J'ai été crédule.
I was naive.	Je fus crédule.
I was naive.	J'ai été naïf.
I was naive.	J'ai été naïve.
I was naive.	J'étais naïf.
I was naive.	J'étais naïve.
I was ready.	J'étais prête.
I was ready.	J'y étais prêt.
I was ready.	J'y étais prête.
I was sober.	J'étais sobre.
I was sorry.	Je fus désolé.
I was sorry.	Je fus désolée.
I was there.	J'y étais.
I was there.	Je m'y trouvais.
I was there.	J'étais là.
I was there.	Je me tenais là.
I was third.	J'étais troisième.
I was tired.	J'étais fatigué.
I was tired.	J’étais fatiguée.
I was wrong.	J'avais tort.
I was wrong.	J'eus tort.
I was wrong.	J'ai eu tort.
I washed it.	Je l'ai lavé.
I washed it.	Je l'ai lavée.
I went home.	J'allais à la maison.
I went, too.	J'y suis également allé.
I went, too.	J'y suis allé, également.
I went, too.	J'y suis allé aussi.
I will come.	Je viendrai.
I will help.	J'aiderai.
I will obey.	J'obéirai.
I will wait.	J'attendrai.
I will walk.	Je marcherai.
I will work.	Je vais travailler.
I will work.	Je travaillerai.
I won again.	J'ai à nouveau gagné.
I won't cry.	Je ne pleurerai pas.
I won't cry.	Je ne crierai pas.
I work here.	Je travaille ici.
I'll attend.	Je serai présent.
I'll attend.	J'y assisterai.
I'll buy it.	Je l'achèterai.
I'll cancel.	J'annulerai.
I'll change.	Je changerai.
I'll decide.	J'en déciderai.
I'll decide.	Je le déciderai.
I'll get in.	J'arriverai à entrer.
I'll get it.	Je vais aller le chercher.
I'll get it.	J'irai le chercher.
I'll get up.	Je me lèverai.
I'll go now.	J'y vais maintenant.
I'll go see.	J'irai voir.
I'll manage.	Je m'en sortirai.
I'll scream.	Je crierai.
I'll try it.	Je l'essayerai.
I'll try it.	Je le tenterai.
I'm 17, too.	J'ai également dix-sept ans.
I'm a baker.	Je suis boulanger.
I'm a baker.	Je suis boulangère.
I'm a child.	Je suis un enfant.
I'm a medic.	Je suis toubib.
I'm all set.	Je suis tout à fait prêt.
I'm all set.	Je suis tout à fait prête.
I'm ashamed.	J'ai honte.
I'm at home.	Je suis à la maison.
I'm at home.	Je suis dans la maison.
I'm at work.	Je suis au travail.
I'm baffled.	Je suis perplexe.
I'm blessed.	Je suis béni.
I'm blessed.	Je suis bénie.
I'm careful.	Je suis prudent.
I'm careful.	Je suis prudente.
I'm certain.	Je suis sûr.
I'm certain.	Je suis certain.
I'm chicken.	J'ai les foies.
I'm chicken.	J'ai les chocottes.
I'm cooking.	Je cuisine.
I'm correct.	J'ai raison.
I'm curious.	Je suis curieux.
I'm curious.	Je suis curieuse.
I'm dancing.	Je suis en train de danser.
I'm dieting.	Je suis au régime.
I'm driving.	Je suis en train de conduire.
I'm driving.	Je conduis.
I'm engaged.	Je suis fiancé.
I'm engaged.	Je suis fiancée.
I'm excited.	Je suis excité.
I'm excited.	Je suis excitée.
I'm falling.	Je tombe.
I'm fasting.	Je fais la diète.
I'm fasting.	Je suis à la diète.
I'm finicky.	Je suis méticuleux.
I'm finicky.	Je suis méticuleuse.
I'm frantic.	Je suis affolé.
I'm frantic.	Je suis affolée.
I'm furious.	Je suis furieux.
I'm healthy.	Je suis en bonne santé.
I'm humming.	Je fredonne.
I'm in love.	Je suis amoureux.
I'm in love.	Je suis amoureuse.
I'm in luck.	Je suis veinard.
I'm in luck.	Je suis veinarde.
I'm jealous.	Je suis jalouse.
I'm jittery.	J'ai la frousse.
I'm kidding.	Je plaisante.
I'm kidding.	Je rigole !
I'm leaving.	Je pars.
I'm married.	Je suis marié.
I'm married.	Je suis mariée.
I'm nervous.	Je suis nerveux.
I'm nervous.	Je suis nerveuse.
I'm neutral.	Je suis neutre.
I'm no fool.	Je ne suis pas une idiote.
I'm no hero.	Je ne suis pas un héros.
I'm no liar.	Je ne suis pas un menteur.
I'm not Tom.	Je ne suis pas Tom.
I'm not fat.	Je ne suis pas gros.
I'm not mad.	Je ne suis pas fou.
I'm not mad.	Je ne suis pas folle.
I'm not old.	Je ne suis pas vieux.
I'm not old.	Je ne suis pas vieille.
I'm not sad.	Je ne suis pas triste.
I'm not shy.	Je ne suis pas timide.
I'm on duty.	Je suis en service.
I'm patient.	Je suis patiente.
I'm patient.	Je suis patient.
I'm popular.	Je suis populaire.
I'm psyched.	Je suis remonté.
I'm psychic.	Je suis voyant.
I'm psychic.	Je suis voyante.
I'm puzzled.	Je suis perplexe.
I'm reading.	Je lis.
I'm relaxed.	Je suis détendu.
I'm relaxed.	Je suis détendue.
I'm retired.	Je suis retraité.
I'm retired.	Je suis retraitée.
I'm retired.	Je suis pensionné.
I'm retired.	Je suis pensionnée.
I'm selfish.	Je suis égoïste.
I'm serious.	Je suis sérieux.
I'm shocked.	Je suis choqué.
I'm shocked.	Je suis choquée.
I'm sincere.	Je suis sincère.
I'm sloshed.	Je suis bourré.
I'm sloshed.	Je suis bourrée.
I'm smashed.	Je suis fracassé !
I'm so cold.	J'ai tellement froid.
I'm so full.	Je suis tellement rassasié.
I'm so glad.	Je suis si heureux.
I'm starved.	Je meurs de faim !
I'm starved.	J'ai l'estomac dans les talons.
I'm starved.	J'ai la dalle.
I'm starved.	J'ai les crocs.
I'm staying.	Je reste.
I'm stuffed.	Je suis gavé.
I'm stuffed.	Je suis gavée.
I'm stunned.	Je suis sidéré.
I'm stunned.	Je suis sidérée.
I'm talking.	Je suis en train de discuter.
I'm teasing.	Je taquine.
I'm thirsty.	J'ai soif.
I'm through.	J'en ai fini.
I'm through.	J'en ai terminé.
I'm too fat.	Je suis trop gros.
I'm touched.	Je suis touché.
I'm touched.	Je suis touchée.
I'm trapped.	Je suis piégée.
I'm trapped.	Je suis piégé.
I'm unarmed.	Je suis désarmé.
I'm unhappy.	Je suis mécontent.
I'm unhappy.	Je suis mécontente.
I'm unlucky.	J'ai la schcoumoune.
I'm wealthy.	Je suis riche.
I'm wealthy.	Je suis fortuné.
I'm wealthy.	Je suis fortunée.
I'm winning.	Je gagne.
I'm winning.	Je l'emporte.
I'm working.	Je suis en train de travailler.
I'm worried.	Je me fais du souci.
I've failed.	J'ai échoué.
Ignore them.	Ignore-les.
Ignore them.	Ignorez-les.
Is Tom here?	Est-ce que Tom est ici ?
Is Tom hurt?	Tom est-il blessé ?
Is Tom lazy?	Est-ce que Tom est paresseux ?
Is Tom lazy?	Tom est-il paresseux ?
Is Tom safe?	Tom est-il en sécurité ?
Is Tom safe?	Tom ne risque-t-il rien ?
Is Tom safe?	Tom est-il à l'abri ?
Is Tom sure?	Est-ce que Tom est sûr ?
Is Tom well?	Est-ce que Tom va bien ?
Is Tom well?	Est-ce que Tom va bien ?
Is Tom well?	Tom va-t-il bien ?
Is he right?	A-t-il raison ?
Is it clean?	Est-ce propre ?
Is it clear?	Est-ce clair ?
Is it dirty?	Est-ce sale ?
Is it fatal?	Est-ce fatal ?
Is it legal?	Est-ce légal ?
Is it ready?	Est-ce prêt ?
Is it to go?	Ça doit partir ?
Is it to go?	Cela doit-il partir ?
Is it to go?	À emporter ?
Is it yours?	Est-ce à toi ?
Is it yours?	Est-ce à vous ?
Is it yours?	Vous appartient-il ?
Is it yours?	Est-ce le vôtre ?
Is it yours?	Est-ce le tien ?
Is it yours?	Est-ce la tienne ?
Is it yours?	Est-ce la vôtre ?
Is she gone?	S'en est-elle allée ?
Is that Tom?	Est-ce Tom ?
Is that all?	C'est tout ?
Is that you?	Est-ce toi ?
Is that you?	Est-ce vous ?
Is that you?	Est-ce que c'est vous ?
Is this art?	Est-ce de l'art ?
It can't be!	C'est pas possible !
It happened.	C'est arrivé.
It is foggy.	Il y a du brouillard.
It may rain.	Il pourrait pleuvoir.
It may snow.	Il va peut-être se mettre à neiger.
It was fair.	C'était juste.
It was flat.	Il était plat.
It was flat.	Elle était plate.
It was hard.	C'était dur.
It was hard.	C'était difficile.
It was long.	C'était long.
It'll break.	Il va se briser.
It'll break.	Ça va casser.
It'll break.	Ça va se biser.
It'll break.	Ça va rompre.
It's 50 yen.	C'est 50 yen.
It's Monday.	Nous sommes lundi.
It's a doll.	C'est une poupée.
It's a fact.	C'est un fait.
It's a fake.	C'est un faux.
It's a fake.	C'est une contrefaçon.
It's a rule.	C'est une règle.
It's a rule.	Il s'agit d'une règle.
It's a scam.	C'est une arnaque.
It's a scam.	Il s'agit d'une arnaque.
It's a sign.	C'est un signe.
It's a song.	C'est une chanson.
It's all OK.	Tout est d'équerre.
It's all OK.	C'est tout bon.
It's broken.	C'est cassé.
It's cloudy.	Le temps est couvert.
It's ironic.	C'est ironique.
It's locked.	C'est verrouillé.
It's my job.	C'est mon métier.
It's my job.	C'est mon emploi.
It's no use.	Ça ne sert à rien.
It's not us.	Ce n'est pas nous.
It's poison.	C'est du poison.
It's secret.	C'est secret.
It's silent.	C'est silencieux.
It's stupid.	C'est bête.
It's urgent.	C'est urgent.
It's warmer.	C'est plus chaud.
It's warmer.	Il fait plus chaud.
Just say no.	Dites simplement non !
Just say no.	Dis simplement non !
Keep trying.	Continue à essayer.
Keep trying.	Continue d'essayer.
Keep trying.	Continuez à essayer.
Keep trying.	Continuez d'essayer.
Let me help.	Laisse-moi t'aider !
Let me help.	Laissez-moi vous aider !
Let me know.	Fais-le moi savoir !
Let me know.	Avise-moi !
Let me talk.	Laisse-moi parler.
Let me talk.	Laissez-moi parler.
Let's begin.	Commençons !
Let's dance.	Dansons.
Let's do it!	Faisons-le !
Let's do it!	Faisons-le !
Let's do it!	On s'y met !
Let's do it!	Mettons-nous y !
Let's do it.	Faisons-le.
Let's drink.	Buvons !
Let's hurry.	Dépêchons-nous.
Let's party.	Célébrons.
Let's party.	Faisons la fête.
Let's split.	Divisons-nous !
Let's split.	Séparons-nous !
Let's start!	Commençons !
Let's start.	Commençons.
Life is fun.	La vie est amusante.
Look around.	Regarde autour de toi.
Look around.	Regardez autour de vous.
Lunch is on.	Le déjeuner est prêt.
Make a list.	Fais une liste !
Make a list.	Faites une liste !
Make a wish.	Fais un souhait !
Make a wish.	Faites un souhait !
Many thanks.	Merci beaucoup !
Many thanks.	Merci vraiment.
Many thanks.	Merci bien.
Many thanks.	Grand merci.
Many thanks.	Mille mercis.
May I begin?	Puis-je commencer ?
Memorize it.	Mémorise-le.
Memorize it.	Mémorise-la.
Memorize it.	Mémorisez-le.
Memorize it.	Mémorisez-la.
Money talks.	L'argent est roi.
Need a lift?	T'as besoin d'un chauffeur ?
Nice timing.	Bien calculé !
Nice timing.	Pile poil !
Nice timing.	Moins une !
Nice timing.	Tout juste !
Nice timing.	Pile à l'heure !
No means no.	« Non », ça veut dire « non ».
No one came.	Personne n'est venu.
No one came.	Personne ne vint.
No one died.	Personne n'est mort.
No one left.	Personne ne partit.
No one left.	Personne n'est parti.
Nobody came.	Personne n'est venu.
Nobody came.	Personne ne vint.
Nobody died.	Personne n'est mort.
Now I'm sad.	Maintenant je suis attristé.
Now we wait.	Maintenant nous attendons.
OK. I agree.	Bien. Je suis d’accord.
Oh, come on.	Oh, viens.
Pick a card.	Pioche une carte !
Pick a card.	Piochez une carte !
Pick a date.	Choisissez une date !
Pick a date.	Choisis une date !
Plants grow.	Les plantes poussent.
Plants grow.	Les plantes croissent.
Please come.	Viens, s'il te plait.
Please come.	S'il te plait, viens.
Please come.	Venez, je vous prie.
